,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
32,0.0,1250.692,-0.0,34.148,1340.435,21.83,-150.4,-86.4,-145.3,0.0,0.0,0.0,32767.0,-7320.0,-20489.0,12137.0,-2.822,-0.34900000000000003,-3.989,0.8230000000000001
33,0.0,1197.437,-0.0,33.117,1299.697,29.335,-9.4,-80.5,-4.5,0.0,0.0,0.0,32767.0,-1936.0,-23298.0,-1612.0,-2.7560000000000002,-0.34400000000000003,-4.205,0.783
34,0.0,1137.565,-0.0,28.762,1258.674,21.486,-3.3,-68.4,1.6,0.0,0.0,0.0,32767.0,-6620.0,-32767.0,12989.0,-2.66,-0.329,-4.322,0.75
35,0.0,1072.021,-0.0,26.528,1207.05,28.992,-3.1,-62.7,1.4,0.0,0.0,0.0,32767.0,2256.0,-32767.0,-3088.0,-2.596,-0.326,-4.473,0.708
36,0.0,1001.751,-0.0,21.887,1154.625,21.543,-1.7,-50.5,2.7,0.0,0.0,0.0,32767.0,505.0,-32767.0,14848.0,-1.5,-0.194,-3.309,0.866
37,0.0,927.699,-0.0,17.934,1095.61,27.559,-1.0,-40.0,3.4,0.0,0.0,0.0,32767.0,-1466.0,-32767.0,-1704.0,-1.836,-0.22,-3.391,0.835
38,0.0,850.811,-0.0,11.918,1033.387,21.83,-1.6,-40.3,2.6,0.0,0.0,0.0,32767.0,7375.0,-32767.0,16617.0,0.833,0.041,-1.617,1.209
39,0.0,772.032,-0.0,1.089,972.768,25.153,-1.3,-30.8,3.2,0.0,0.0,0.0,32767.0,8855.0,-32767.0,-807.0,0.449,0.019,-1.5310000000000001,1.193
40,0.0,692.308,-0.0,-7.735,915.873,22.002,-1.2,-22.0,3.7,0.0,0.0,0.0,32767.0,6927.0,-32767.0,13516.0,0.459,0.022,-1.546,1.178
41,0.0,692.308,-0.0,-13.694,866.656,22.059,-1.2,-12.2,3.9,0.0,0.0,0.0,32767.0,4507.0,-32767.0,2175.0,0.516,0.027,-1.573,1.163
